"ProjectProgramCode","StationOrder","StationCode","QC","SubArea","Watershed","SamplePosition","TemplateNumber","AltStationCode","StationDescription","AddlStationDescription","Flag","StationGroup","RandomTarget","StationID","StationOwner","Latitude","Longitude","StationType","HUC","LandUse","DrainageArea","DrainageAreaUnits","ChannelType","FlowType","HyperLinkString","DrainageFacility","LastUpdateUser","LastUpdateDate","MRN","ActiveFlag"
42,"1.0","CMCG02-T1","0",,"Newport Coastal Streams",,1,,"Costa Mesa Channel at Highland",,"F",,,1238,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.240","","1"
42,"2.0","CMCG02-T2","0",,"Newport Coastal Streams",,1,,"Costa Mesa Channel at Highland",,"F",,,1239,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.240","","1"
42,"3.0","CMCG02-T3","0",,"Newport Coastal Streams",,1,,"Costa Mesa Channel at Highland",,"F",,,1240,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.240","","1"
42,"4.0","CMCG02-T4","0",,"Newport Coastal Streams",,1,,"Costa Mesa Channel at Highland",,"F",,,1241,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.240","","1"
42,"5.0","CMCG02-T5","0",,"Newport Coastal Streams",,1,,"Costa Mesa Channel at Highland",,"F",,,1242,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.240","","1"
42,"6.0","SADF01-T1","0",,"Newport Bay",,1,,"Santa Ana Delhi Channel u/s Irvine Avenue",,"F",,,1243,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"7.0","SADF01-T2","0",,"Newport Bay",,1,,"Santa Ana Delhi Channel u/s Irvine Avenue",,"F",,,1244,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"8.0","SADF01-T3","0",,"Newport Bay",,1,,"Santa Ana Delhi Channel u/s Irvine Avenue",,"F",,,1245,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"9.0","SADF01-T4","0",,"Newport Bay",,1,,"Santa Ana Delhi Channel u/s Irvine Avenue",,"F",,,1246,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"10.0","SADF01-T5","0",,"Newport Bay",,1,,"Santa Ana Delhi Channel u/s Irvine Avenue",,"F",,,1247,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"11.0","WYLSED-T1","0",,"Newport Bay",,1,,"San Diego Creek at Harvard Avenue",,"F",,,1248,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"12.0","WYLSED-T2","0",,"Newport Bay",,1,,"San Diego Creek at Harvard Avenue",,"F",,,1249,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"13.0","WYLSED-T3","0",,"Newport Bay",,1,,"San Diego Creek at Harvard Avenue",,"F",,,1250,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"14.0","WYLSED-T4","0",,"Newport Bay",,1,,"San Diego Creek at Harvard Avenue",,"F",,,1251,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"15.0","WYLSED-T5","0",,"Newport Bay",,1,,"San Diego Creek at Harvard Avenue",,"F",,,1252,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"16.0","BARSED-T1","0",,"Newport Bay",,1,,"Peters Canyon Wash at Barranca Parkway",,"F",,,1253,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"17.0","BARSED-T2","0",,"Newport Bay",,1,,"Peters Canyon Wash at Barranca Parkway",,"F",,,1254,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"18.0","BARSED-T3","0",,"Newport Bay",,1,,"Peters Canyon Wash at Barranca Parkway",,"F",,,1255,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"19.0","BARSED-T4","0",,"Newport Bay",,1,,"Peters Canyon Wash at Barranca Parkway",,"F",,,1256,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"20.0","BARSED-T5","0",,"Newport Bay",,1,,"Peters Canyon Wash at Barranca Parkway",,"F",,,1257,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"21.0","LANF08-T1","0",,"Newport Bay",,1,,"Lane Channel u/s Jamboree Blvd.",,,,,1258,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"22.0","LANF08-T2","0",,"Newport Bay",,1,,"Lane Channel u/s Jamboree Blvd.",,,,,1259,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"23.0","LANF08-T3","0",,"Newport Bay",,1,,"Lane Channel u/s Jamboree Blvd.",,,,,1260,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"24.0","LANF08-T4","0",,"Newport Bay",,1,,"Lane Channel u/s Jamboree Blvd.",,,,,1261,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"25.0","LANF08-T5","0",,"Newport Bay",,1,,"Lane Channel u/s Jamboree Blvd.",,,,,1262,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"26.0","MIRF07-T1","0",,"Newport Bay",,1,,"El Modena Irvine Channel at Michelle",,"F",,,1263,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"27.0","MIRF07-T2","0",,"Newport Bay",,1,,"El Modena Irvine Channel at Michelle",,"F",,,1264,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"28.0","MIRF07-T3","0",,"Newport Bay",,1,,"El Modena Irvine Channel at Michelle",,"F",,,1265,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"29.0","MIRF07-T4","0",,"Newport Bay",,1,,"El Modena Irvine Channel at Michelle",,"F",,,1266,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"30.0","MIRF07-T5","0",,"Newport Bay",,1,,"El Modena Irvine Channel at Michelle",,"F",,,1267,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"31.0","ACWF18-T1","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1268,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"32.0","ACWF18-T2","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1269,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"33.0","ACWF18-T3","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1270,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"34.0","ACWF18-T4","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1271,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"35.0","ACWF18-T5","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1272,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"36.0","CICF25-T1","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1273,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
42,"37.0","CICF25-T2","0",,"Newport Bay",,1,,"Agua Chinon Wash",,"F",,,1274,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","","1"
